withdrawal_id,atm_id,timestamp,amount,day_of_week,hour,withdrawal_frequency,is_suspicious,associated_case_id
WDR-0000102,ATM-HYD-0003,2026-01-21 12:50:00,20000,Wednesday,12,3,False,N/A
WDR-0000103,ATM-HYD-0067,2026-02-16 19:05:00,4000,Monday,19,3,False,N/A
WDR-0000104,ATM-HYD-0374,2026-04-18 04:57:00,20000,Saturday,4,12,True,DR-2026-3658
WDR-0000105,ATM-HYD-0280,2026-01-31 06:01:00,25000,Saturday,6,9,True,DR-2026-4136
WDR-0000106,ATM-HYD-0132,2026-02-15 03:56:00,15000,Sunday,3,7,False,N/A
WDR-0000107,ATM-HYD-0401,2026-02-10 01:10:00,15000,Tuesday,1,23,True,DR-2026-1169
WDR-0000108,ATM-HYD-0256,2026-04-28 19:38:00,40000,Tuesday,19,16,False,N/A
WDR-0000109,ATM-HYD-0214,2026-06-02 03:35:00,40000,Tuesday,3,13,False,N/A
WDR-0000110,ATM-HYD-0148,2026-05-31 05:47:00,25000,Sunday,5,12,True,DR-2026-2231
WDR-0000111,ATM-HYD-0077,2026-05-17 18:13:00,5000,Sunday,18,22,True,DR-2026-2337
WDR-0000112,ATM-HYD-0441,2026-03-06 04:33:00,25000,Friday,4,23,True,DR-2026-1997
WDR-0000113,ATM-HYD-0163,2026-06-21 22:24:00,5000,Sunday,22,10,True,DR-2026-2997
WDR-0000114,ATM-HYD-0008,2026-02-01 19:30:00,25000,Sunday,19,5,False,N/A
WDR-0000115,ATM-HYD-0471,2026-05-29 16:24:00,10000,Friday,16,22,False,N/A
WDR-0000116,ATM-HYD-0302,2026-03-04 08:48:00,40000,Wednesday,8,4,True,DR-2026-3284
WDR-0000117,ATM-HYD-0197,2026-04-01 08:33:00,4000,Wednesday,8,24,False,N/A
WDR-0000118,ATM-HYD-0284,2026-04-06 03:53:00,15000,Monday,3,10,False,N/A
WDR-0000119,ATM-HYD-0024,2026-06-07 06:25:00,15000,Sunday,6,11,False,N/A
WDR-0000120,ATM-HYD-0145,2026-07-05 14:33:00,5000,Sunday,14,5,False,N/A
WDR-0000121,ATM-HYD-0208,2026-03-19 08:56:00,2000,Thursday,8,21,False,N/A
WDR-0000122,ATM-HYD-0207,2026-07-05 06:57:00,15000,Sunday,6,18,False,N/A
WDR-0000123,ATM-HYD-0305,2026-04-02 11:25:00,10000,Thursday,11,4,True,DR-2026-2416
WDR-0000124,ATM-HYD-0511,2026-07-01 03:17:00,2000,Wednesday,3,13,True,DR-2026-2958
WDR-0000125,ATM-HYD-0400,2026-06-27 17:39:00,20000,Saturday,17,20,True,DR-2026-2171
WDR-0000126,ATM-HYD-0380,2026-02-24 07:24:00,2000,Tuesday,7,17,False,N/A
WDR-0000127,ATM-HYD-0333,2026-06-16 06:57:00,4000,Tuesday,6,9,True,DR-2026-2210
WDR-0000128,ATM-HYD-0472,2026-06-23 14:05:00,5000,Tuesday,14,11,False,N/A
WDR-0000129,ATM-HYD-0513,2026-06-01 05:42:00,4000,Monday,5,17,False,N/A
WDR-0000130,ATM-HYD-0073,2026-07-01 03:41:00,2000,Wednesday,3,23,True,DR-2026-1330
WDR-0000131,ATM-HYD-0429,2026-02-06 20:24:00,2000,Friday,20,12,False,N/A
WDR-0000132,ATM-HYD-0113,2026-01-26 02:07:00,15000,Monday,2,21,False,N/A
WDR-0000133,ATM-HYD-0075,2026-02-08 22:27:00,20000,Sunday,22,7,True,DR-2026-4115
WDR-0000134,ATM-HYD-0385,2026-01-16 15:06:00,25000,Friday,15,8,True,DR-2026-3552
WDR-0000135,ATM-HYD-0286,2026-01-27 02:58:00,4000,Tuesday,2,10,False,N/A
WDR-0000136,ATM-HYD-0083,2026-05-28 19:44:00,5000,Thursday,19,14,False,N/A
WDR-0000137,ATM-HYD-0498,2026-03-20 11:53:00,15000,Friday,11,17,False,N/A
WDR-0000138,ATM-HYD-0502,2026-02-01 01:09:00,5000,Sunday,1,14,True,DR-2026-4890
WDR-0000139,ATM-HYD-0052,2026-03-18 11:32:00,20000,Wednesday,11,3,True,DR-2026-3659
WDR-0000140,ATM-HYD-0458,2026-02-25 13:43:00,15000,Wednesday,13,22,False,N/A
WDR-0000141,ATM-HYD-0142,2026-03-18 15:09:00,4000,Wednesday,15,16,False,N/A
WDR-0000142,ATM-HYD-0071,2026-01-29 01:39:00,20000,Thursday,1,7,False,N/A
WDR-0000143,ATM-HYD-0016,2026-05-21 14:49:00,25000,Thursday,14,13,True,DR-2026-2141
WDR-0000144,ATM-HYD-0006,2026-01-29 17:25:00,15000,Thursday,17,23,False,N/A
WDR-0000145,ATM-HYD-0184,2026-03-06 14:32:00,20000,Friday,14,3,False,N/A
WDR-0000146,ATM-HYD-0245,2026-03-27 18:20:00,10000,Friday,18,19,True,DR-2026-3158
WDR-0000147,ATM-HYD-0326,2026-04-01 10:21:00,2000,Wednesday,10,15,True,DR-2026-1487
WDR-0000148,ATM-HYD-0226,2026-02-16 03:43:00,40000,Monday,3,4,False,N/A
WDR-0000149,ATM-HYD-0049,2026-06-16 10:19:00,40000,Tuesday,10,4,False,N/A
WDR-0000150,ATM-HYD-0293,2026-03-14 10:33:00,4000,Saturday,10,5,False,N/A
WDR-0000151,ATM-HYD-0076,2026-03-11 18:11:00,40000,Wednesday,18,11,False,N/A
WDR-0000152,ATM-HYD-0010,2026-03-23 15:54:00,25000,Monday,15,16,False,N/A
WDR-0000153,ATM-HYD-0132,2026-04-30 20:24:00,4000,Thursday,20,9,False,N/A
WDR-0000154,ATM-HYD-0253,2026-04-06 11:26:00,40000,Monday,11,14,True,DR-2026-1824
WDR-0000155,ATM-HYD-0328,2026-04-04 17:44:00,10000,Saturday,17,14,False,N/A
WDR-0000156,ATM-HYD-0472,2026-01-20 05:46:00,15000,Tuesday,5,12,False,N/A
WDR-0000157,ATM-HYD-0074,2026-04-22 20:23:00,5000,Wednesday,20,3,True,DR-2026-2243
WDR-0000158,ATM-HYD-0418,2026-06-03 07:37:00,15000,Wednesday,7,19,False,N/A
WDR-0000159,ATM-HYD-0166,2026-05-03 05:28:00,5000,Sunday,5,16,False,N/A
WDR-0000160,ATM-HYD-0001,2026-04-30 23:25:00,40000,Thursday,23,7,True,DR-2026-3375
WDR-0000161,ATM-HYD-0401,2026-05-21 02:27:00,2000,Thursday,2,15,False,N/A
WDR-0000162,ATM-HYD-0518,2026-06-24 12:12:00,10000,Wednesday,12,21,False,N/A
WDR-0000163,ATM-HYD-0138,2026-06-17 19:03:00,10000,Wednesday,19,18,True,DR-2026-2632
WDR-0000164,ATM-HYD-0020,2026-03-15 13:45:00,2000,Sunday,13,18,False,N/A
WDR-0000165,ATM-HYD-0229,2026-03-07 02:00:00,25000,Saturday,2,21,False,N/A
WDR-0000166,ATM-HYD-0055,2026-04-04 12:52:00,10000,Saturday,12,23,False,N/A
WDR-0000167,ATM-HYD-0098,2026-02-21 17:17:00,15000,Saturday,17,16,False,N/A
WDR-0000168,ATM-HYD-0462,2026-02-24 10:06:00,2000,Tuesday,10,24,False,N/A
WDR-0000169,ATM-HYD-0186,2026-05-30 05:43:00,15000,Saturday,5,10,False,N/A
WDR-0000170,ATM-HYD-0206,2026-03-23 20:42:00,25000,Monday,20,4,True,DR-2026-2159
WDR-0000171,ATM-HYD-0196,2026-03-17 20:48:00,15000,Tuesday,20,24,True,DR-2026-2788
WDR-0000172,ATM-HYD-0038,2026-08-03 02:52:00,40000,Monday,2,10,False,N/A
WDR-0000173,ATM-HYD-0319,2026-07-30 21:02:00,4000,Thursday,21,23,True,DR-2026-2908
WDR-0000174,ATM-HYD-0287,2026-07-04 23:50:00,15000,Saturday,23,4,False,N/A
WDR-0000175,ATM-HYD-0366,2026-04-05 19:35:00,10000,Sunday,19,10,True,DR-2026-2859
WDR-0000176,ATM-HYD-0374,2026-01-17 15:58:00,15000,Saturday,15,7,True,DR-2026-3745
WDR-0000177,ATM-HYD-0326,2026-02-06 09:55:00,25000,Friday,9,12,False,N/A
WDR-0000178,ATM-HYD-0503,2026-03-22 22:57:00,10000,Sunday,22,13,True,DR-2026-2944
WDR-0000179,ATM-HYD-0388,2026-06-14 16:26:00,4000,Sunday,16,23,False,N/A
WDR-0000180,ATM-HYD-0407,2026-04-20 03:55:00,40000,Monday,3,17,False,N/A
WDR-0000181,ATM-HYD-0308,2026-03-30 15:18:00,15000,Monday,15,4,False,N/A
WDR-0000182,ATM-HYD-0381,2026-06-23 12:01:00,20000,Tuesday,12,24,True,DR-2026-2122
WDR-0000183,ATM-HYD-0390,2026-02-24 20:57:00,25000,Tuesday,20,10,True,DR-2026-2923
WDR-0000184,ATM-HYD-0419,2026-03-30 09:13:00,15000,Monday,9,13,True,DR-2026-2268
WDR-0000185,ATM-HYD-0016,2026-07-15 10:55:00,15000,Wednesday,10,3,False,N/A
WDR-0000186,ATM-HYD-0201,2026-03-26 00:13:00,20000,Thursday,0,14,False,N/A
WDR-0000187,ATM-HYD-0030,2026-07-21 20:39:00,25000,Tuesday,20,16,False,N/A
WDR-0000188,ATM-HYD-0338,2026-06-05 22:04:00,20000,Friday,22,4,False,N/A
WDR-0000189,ATM-HYD-0328,2026-02-07 21:43:00,15000,Saturday,21,14,False,N/A
WDR-0000190,ATM-HYD-0103,2026-06-11 04:01:00,20000,Thursday,4,11,False,N/A
WDR-0000191,ATM-HYD-0473,2026-03-05 09:40:00,2000,Thursday,9,12,True,DR-2026-3581
WDR-0000192,ATM-HYD-0304,2026-03-21 21:21:00,20000,Saturday,21,16,False,N/A
WDR-0000193,ATM-HYD-0513,2026-04-22 22:48:00,10000,Wednesday,22,3,False,N/A
WDR-0000194,ATM-HYD-0279,2026-05-22 15:53:00,5000,Friday,15,16,False,N/A
WDR-0000195,ATM-HYD-0239,2026-01-15 23:53:00,10000,Thursday,23,9,False,N/A
WDR-0000196,ATM-HYD-0101,2026-06-10 05:38:00,25000,Wednesday,5,23,False,N/A
WDR-0000197,ATM-HYD-0323,2026-04-19 16:46:00,5000,Sunday,16,6,False,N/A
WDR-0000198,ATM-HYD-0239,2026-04-15 22:33:00,5000,Wednesday,22,11,False,N/A
WDR-0000199,ATM-HYD-0065,2026-05-26 21:17:00,5000,Tuesday,21,4,True,DR-2026-2778
WDR-0000200,ATM-HYD-0331,2026-02-06 22:29:00,4000,Friday,22,21,False,N/A
WDR-0000201,ATM-HYD-0063,2026-04-06 14:41:00,25000,Monday,14,9,False,N/A
WDR-0000202,ATM-HYD-0244,2026-01-18 22:58:00,4000,Sunday,22,8,False,N/A
WDR-0000203,ATM-HYD-0038,2026-04-23 10:55:00,25000,Thursday,10,20,False,N/A
WDR-0000204,ATM-HYD-0134,2026-02-08 00:46:00,4000,Sunday,0,10,False,N/A
WDR-0000205,ATM-HYD-0204,2026-06-15 13:21:00,2000,Monday,13,19,False,N/A
WDR-0000206,ATM-HYD-0219,2026-05-22 14:02:00,40000,Friday,14,6,False,N/A
WDR-0000207,ATM-HYD-0168,2026-07-19 22:35:00,5000,Sunday,22,16,True,DR-2026-2062
WDR-0000208,ATM-HYD-0211,2026-05-06 00:55:00,5000,Wednesday,0,4,False,N/A
WDR-0000209,ATM-HYD-0247,2026-04-20 21:40:00,40000,Monday,21,8,False,N/A
WDR-0000210,ATM-HYD-0461,2026-06-13 13:34:00,4000,Saturday,13,15,True,DR-2026-1993
WDR-0000211,ATM-HYD-0065,2026-05-27 08:40:00,5000,Wednesday,8,23,False,N/A
WDR-0000212,ATM-HYD-0058,2026-07-17 19:32:00,20000,Friday,19,12,True,DR-2026-2931
WDR-0000213,ATM-HYD-0183,2026-06-10 19:11:00,4000,Wednesday,19,5,False,N/A
WDR-0000214,ATM-HYD-0328,2026-07-25 05:22:00,4000,Saturday,5,7,False,N/A
WDR-0000215,ATM-HYD-0187,2026-04-29 07:16:00,2000,Wednesday,7,4,False,N/A
WDR-0000216,ATM-HYD-0460,2026-06-03 07:12:00,4000,Wednesday,7,13,False,N/A
WDR-0000217,ATM-HYD-0351,2026-02-14 23:20:00,25000,Saturday,23,14,False,N/A
WDR-0000218,ATM-HYD-0096,2026-05-16 20:52:00,5000,Saturday,20,4,False,N/A
WDR-0000219,ATM-HYD-0303,2026-06-07 18:53:00,25000,Sunday,18,7,False,N/A
WDR-0000220,ATM-HYD-0091,2026-05-17 11:26:00,10000,Sunday,11,24,True,DR-2026-3373
WDR-0000221,ATM-HYD-0023,2026-05-14 17:43:00,2000,Thursday,17,5,False,N/A
WDR-0000222,ATM-HYD-0183,2026-05-05 13:32:00,4000,Tuesday,13,10,False,N/A
WDR-0000223,ATM-HYD-0456,2026-05-13 14:00:00,20000,Wednesday,14,3,True,DR-2026-4503
WDR-0000224,ATM-HYD-0191,2026-05-10 23:12:00,4000,Sunday,23,13,False,N/A
WDR-0000225,ATM-HYD-0308,2026-07-06 10:00:00,5000,Monday,10,3,False,N/A
WDR-0000226,ATM-HYD-0292,2026-06-06 23:23:00,15000,Saturday,23,12,False,N/A
WDR-0000227,ATM-HYD-0186,2026-04-28 05:39:00,10000,Tuesday,5,22,False,N/A
WDR-0000228,ATM-HYD-0044,2026-07-09 17:52:00,5000,Thursday,17,22,True,DR-2026-3020
WDR-0000229,ATM-HYD-0506,2026-05-17 05:42:00,15000,Sunday,5,13,True,DR-2026-2619
WDR-0000230,ATM-HYD-0352,2026-04-22 12:48:00,2000,Wednesday,12,11,False,N/A
WDR-0000231,ATM-HYD-0277,2026-05-16 18:18:00,25000,Saturday,18,13,False,N/A
WDR-0000232,ATM-HYD-0023,2026-01-23 23:39:00,15000,Friday,23,13,False,N/A
WDR-0000233,ATM-HYD-0448,2026-07-17 00:54:00,25000,Friday,0,16,False,N/A
WDR-0000234,ATM-HYD-0338,2026-01-26 03:16:00,2000,Monday,3,22,True,DR-2026-3684
WDR-0000235,ATM-HYD-0209,2026-02-02 23:44:00,25000,Monday,23,5,False,N/A
WDR-0000236,ATM-HYD-0283,2026-05-11 11:04:00,10000,Monday,11,21,True,DR-2026-4951
WDR-0000237,ATM-HYD-0022,2026-07-05 11:44:00,40000,Sunday,11,20,True,DR-2026-3646
WDR-0000238,ATM-HYD-0135,2026-03-21 11:53:00,20000,Saturday,11,13,True,DR-2026-5030
WDR-0000239,ATM-HYD-0167,2026-03-28 11:47:00,4000,Saturday,11,20,False,N/A
WDR-0000240,ATM-HYD-0206,2026-04-20 11:00:00,10000,Monday,11,11,False,N/A
WDR-0000241,ATM-HYD-0066,2026-05-08 05:26:00,2000,Friday,5,7,True,DR-2026-2535
WDR-0000242,ATM-HYD-0026,2026-03-11 07:39:00,4000,Wednesday,7,7,True,DR-2026-4237
WDR-0000243,ATM-HYD-0073,2026-06-01 06:10:00,2000,Monday,6,20,False,N/A
WDR-0000244,ATM-HYD-0370,2026-03-28 12:14:00,25000,Saturday,12,22,True,DR-2026-4422
WDR-0000245,ATM-HYD-0237,2026-02-12 19:09:00,10000,Thursday,19,15,False,N/A
WDR-0000246,ATM-HYD-0267,2026-03-01 03:55:00,10000,Sunday,3,16,False,N/A
WDR-0000247,ATM-HYD-0303,2026-02-10 22:02:00,10000,Tuesday,22,3,False,N/A
WDR-0000248,ATM-HYD-0245,2026-07-19 20:48:00,4000,Sunday,20,23,True,DR-2026-1772
WDR-0000249,ATM-HYD-0378,2026-07-09 08:38:00,40000,Thursday,8,19,False,N/A
WDR-0000250,ATM-HYD-0071,2026-04-22 12:04:00,2000,Wednesday,12,11,False,N/A
WDR-0000251,ATM-HYD-0416,2026-02-08 05:18:00,2000,Sunday,5,16,True,DR-2026-4237
WDR-0000252,ATM-HYD-0062,2026-07-16 14:52:00,4000,Thursday,14,11,False,N/A
WDR-0000253,ATM-HYD-0373,2026-03-20 19:32:00,10000,Friday,19,11,False,N/A
WDR-0000254,ATM-HYD-0293,2026-03-15 00:56:00,4000,Sunday,0,18,False,N/A
WDR-0000255,ATM-HYD-0370,2026-02-28 08:16:00,20000,Saturday,8,23,False,N/A
WDR-0000256,ATM-HYD-0490,2026-05-21 12:35:00,25000,Thursday,12,10,False,N/A
WDR-0000257,ATM-HYD-0520,2026-03-07 03:40:00,25000,Saturday,3,13,False,N/A
WDR-0000258,ATM-HYD-0011,2026-07-17 20:18:00,15000,Friday,20,4,False,N/A
WDR-0000259,ATM-HYD-0019,2026-07-04 09:34:00,25000,Saturday,9,22,True,DR-2026-3000
WDR-0000260,ATM-HYD-0075,2026-01-19 09:41:00,4000,Monday,9,9,True,DR-2026-3773
WDR-0000261,ATM-HYD-0088,2026-06-04 06:15:00,15000,Thursday,6,18,False,N/A
WDR-0000262,ATM-HYD-0169,2026-02-16 10:18:00,4000,Monday,10,13,True,DR-2026-2132
WDR-0000263,ATM-HYD-0140,2026-07-24 13:48:00,4000,Friday,13,4,False,N/A
WDR-0000264,ATM-HYD-0100,2026-01-22 09:31:00,4000,Thursday,9,12,False,N/A
WDR-0000265,ATM-HYD-0128,2026-02-10 14:20:00,10000,Tuesday,14,22,False,N/A
WDR-0000266,ATM-HYD-0311,2026-07-21 17:33:00,20000,Tuesday,17,5,True,DR-2026-5160
WDR-0000267,ATM-HYD-0131,2026-07-04 19:32:00,40000,Saturday,19,13,False,N/A
WDR-0000268,ATM-HYD-0140,2026-05-23 09:16:00,2000,Saturday,9,21,False,N/A
WDR-0000269,ATM-HYD-0142,2026-03-21 00:32:00,20000,Saturday,0,17,False,N/A
