atm_id,bank,latitude,longitude,area,locality,city,pincode,is_24x7,demo_dataset,atm_name,atm_type,operating_hours,historical_withdrawal_count,historical_cashout_rate,average_withdrawal_amount,historical_risk_score,distance_to_police,distance_to_highway,nearby_landmarks,active_status
ATM-HYD-0029,Citibank,17.439724,78.375809,Hitec City,Cyber Towers / Mindspace IT Park,Hyderabad,500081,True,True,Citibank ATM - Hitec City,On-Site,24 Hours,161,0.33,5000,0.56,0.45,0.22,Near Hitec City Metro / Junction,ACTIVE
ATM-HYD-0030,HDFC Bank,17.444991,78.38159,Hitec City,Cyber Towers / Mindspace IT Park,Hyderabad,500081,True,True,HDFC Bank ATM - Hitec City,Off-Site Kiosk,24 Hours,200,0.2,4000,0.75,0.59,0.43,Near Hitec City Metro / Junction,ACTIVE
ATM-HYD-0031,ICICI Bank,17.441344,78.376365,Hitec City,Cyber Towers / Mindspace IT Park,Hyderabad,500081,True,True,ICICI Bank ATM - Hitec City,On-Site,24 Hours,825,0.29,15000,0.24,0.42,3.29,Near Hitec City Metro / Junction,ACTIVE
ATM-HYD-0032,ICICI Bank,17.438521,78.371817,Hitec City,Cyber Towers / Mindspace IT Park,Hyderabad,500081,True,True,ICICI Bank ATM - Hitec City,On-Site,24 Hours,624,0.21,10000,0.72,0.88,0.83,Near Hitec City Metro / Junction,ACTIVE
ATM-HYD-0033,HDFC Bank,17.447156,78.383303,Hitec City,Cyber Towers / Mindspace IT Park,Hyderabad,500081,True,True,HDFC Bank ATM - Hitec City,On-Site,24 Hours,581,0.25,10000,0.48,0.88,2.61,Near Hitec City Metro / Junction,ACTIVE
ATM-HYD-0034,Citibank,17.443176,78.381716,Hitec City,Cyber Towers / Mindspace IT Park,Hyderabad,500081,True,True,Citibank ATM - Hitec City,Off-Site Kiosk,24 Hours,801,0.16,10000,0.66,0.41,2.84,Near Hitec City Metro / Junction,ACTIVE
ATM-HYD-0035,Canara Bank,17.445127,78.374297,Hitec City,Cyber Towers / Mindspace IT Park,Hyderabad,500081,True,True,Canara Bank ATM - Hitec City,On-Site,24 Hours,336,0.19,10000,0.25,0.84,0.81,Near Hitec City Metro / Junction,ACTIVE
ATM-HYD-0036,Canara Bank,17.445126,78.384121,Hitec City,Cyber Towers / Mindspace IT Park,Hyderabad,500081,True,True,Canara Bank ATM - Hitec City,On-Site,24 Hours,217,0.28,15000,0.22,0.73,2.35,Near Hitec City Metro / Junction,ACTIVE
ATM-HYD-0037,Axis Bank,17.443339,78.384241,Hitec City,Cyber Towers / Mindspace IT Park,Hyderabad,500081,True,True,Axis Bank ATM - Hitec City,On-Site,24 Hours,155,0.47,5000,0.27,0.59,1.8,Near Hitec City Metro / Junction,ACTIVE
ATM-HYD-0038,Axis Bank,17.431711,78.380899,Hitec City,Cyber Towers / Mindspace IT Park,Hyderabad,500081,True,True,Axis Bank ATM - Hitec City,On-Site,24 Hours,550,0.44,5000,0.42,0.92,3.45,Near Hitec City Metro / Junction,ACTIVE
ATM-HYD-0039,HDFC Bank,17.443892,78.375854,Hitec City,Cyber Towers / Mindspace IT Park,Hyderabad,500081,False,True,HDFC Bank ATM - Hitec City,On-Site,06:00 - 23:00,605,0.22,20000,0.82,0.62,3.48,Near Hitec City Metro / Junction,ACTIVE
ATM-HYD-0040,Axis Bank,17.440513,78.339956,Gachibowli,Financial District / Stadium Road,Hyderabad,500032,True,True,Axis Bank ATM - Gachibowli,On-Site,24 Hours,638,0.18,8000,0.3,0.95,0.39,Near Gachibowli Metro / Junction,ACTIVE
ATM-HYD-0041,Axis Bank,17.439111,78.350507,Gachibowli,Financial District / Stadium Road,Hyderabad,500032,True,True,Axis Bank ATM - Gachibowli,Off-Site Kiosk,24 Hours,202,0.39,4000,0.19,0.2,1.77,Near Gachibowli Metro / Junction,ACTIVE
ATM-HYD-0042,ICICI Bank,17.446751,78.346568,Gachibowli,Financial District / Stadium Road,Hyderabad,500032,True,True,ICICI Bank ATM - Gachibowli,Off-Site Kiosk,24 Hours,683,0.18,15000,0.21,0.78,0.81,Near Gachibowli Metro / Junction,ACTIVE
ATM-HYD-0043,Axis Bank,17.436462,78.346642,Gachibowli,Financial District / Stadium Road,Hyderabad,500032,False,True,Axis Bank ATM - Gachibowli,On-Site,06:00 - 23:00,831,0.43,10000,0.23,0.47,3.14,Near Gachibowli Metro / Junction,ACTIVE
ATM-HYD-0044,Axis Bank,17.444219,78.350379,Gachibowli,Financial District / Stadium Road,Hyderabad,500032,True,True,Axis Bank ATM - Gachibowli,On-Site,24 Hours,748,0.13,4000,0.44,0.48,2.13,Near Gachibowli Metro / Junction,ACTIVE
ATM-HYD-0045,ICICI Bank,17.437716,78.35121,Gachibowli,Financial District / Stadium Road,Hyderabad,500032,True,True,ICICI Bank ATM - Gachibowli,On-Site,24 Hours,407,0.19,20000,0.37,0.36,1.08,Near Gachibowli Metro / Junction,ACTIVE
ATM-HYD-0046,ICICI Bank,17.440537,78.353259,Gachibowli,Financial District / Stadium Road,Hyderabad,500032,False,True,ICICI Bank ATM - Gachibowli,On-Site,06:00 - 23:00,800,0.23,8000,0.8,0.46,3.29,Near Gachibowli Metro / Junction,ACTIVE
ATM-HYD-0047,Punjab National Bank,17.436941,78.347426,Gachibowli,Financial District / Stadium Road,Hyderabad,500032,False,True,Punjab National Bank ATM - Gachibowli,On-Site,06:00 - 23:00,776,0.48,4000,0.2,0.38,0.9,Near Gachibowli Metro / Junction,ACTIVE
ATM-HYD-0048,ICICI Bank,17.438336,78.342314,Gachibowli,Financial District / Stadium Road,Hyderabad,500032,True,True,ICICI Bank ATM - Gachibowli,On-Site,24 Hours,497,0.44,5000,0.41,0.73,0.72,Near Gachibowli Metro / Junction,ACTIVE
ATM-HYD-0049,ICICI Bank,17.441433,78.350075,Gachibowli,Financial District / Stadium Road,Hyderabad,500032,True,True,ICICI Bank ATM - Gachibowli,Off-Site Kiosk,24 Hours,449,0.34,20000,0.52,0.19,2.4,Near Gachibowli Metro / Junction,ACTIVE
ATM-HYD-0050,Bank of Baroda,17.440123,78.347844,Gachibowli,Financial District / Stadium Road,Hyderabad,500032,True,True,Bank of Baroda ATM - Gachibowli,On-Site,24 Hours,819,0.16,5000,0.34,0.11,3.14,Near Gachibowli Metro / Junction,ACTIVE
ATM-HYD-0051,Bank of Baroda,17.433731,78.347007,Gachibowli,Financial District / Stadium Road,Hyderabad,500032,False,True,Bank of Baroda ATM - Gachibowli,Off-Site Kiosk,06:00 - 23:00,299,0.22,15000,0.3,0.74,1.33,Near Gachibowli Metro / Junction,ACTIVE
ATM-HYD-0052,Kotak Mahindra Bank,17.446758,78.38789,Madhapur,Ayyappa Society / 100 Feet Road,Hyderabad,500081,True,True,Kotak Mahindra Bank ATM - Madhapur,Off-Site Kiosk,24 Hours,410,0.3,8000,0.78,0.42,2.99,Near Madhapur Metro / Junction,ACTIVE
ATM-HYD-0053,State Bank of India,17.447574,78.393318,Madhapur,Ayyappa Society / 100 Feet Road,Hyderabad,500081,True,True,State Bank of India ATM - Madhapur,On-Site,24 Hours,573,0.42,4000,0.15,0.21,2.74,Near Madhapur Metro / Junction,ACTIVE
ATM-HYD-0054,Kotak Mahindra Bank,17.456788,78.392286,Madhapur,Ayyappa Society / 100 Feet Road,Hyderabad,500081,True,True,Kotak Mahindra Bank ATM - Madhapur,Off-Site Kiosk,24 Hours,408,0.18,10000,0.54,0.6,1.61,Near Madhapur Metro / Junction,ACTIVE
ATM-HYD-0055,HDFC Bank,17.449459,78.391165,Madhapur,Ayyappa Society / 100 Feet Road,Hyderabad,500081,True,True,HDFC Bank ATM - Madhapur,On-Site,24 Hours,217,0.46,20000,0.78,0.13,2.0,Near Madhapur Metro / Junction,ACTIVE
ATM-HYD-0056,State Bank of India,17.439666,78.391381,Madhapur,Ayyappa Society / 100 Feet Road,Hyderabad,500081,True,True,State Bank of India ATM - Madhapur,Off-Site Kiosk,24 Hours,736,0.32,10000,0.24,0.96,1.22,Near Madhapur Metro / Junction,ACTIVE
ATM-HYD-0057,Kotak Mahindra Bank,17.448571,78.402585,Madhapur,Ayyappa Society / 100 Feet Road,Hyderabad,500081,True,True,Kotak Mahindra Bank ATM - Madhapur,Off-Site Kiosk,24 Hours,180,0.44,5000,0.63,1.05,2.4,Near Madhapur Metro / Junction,ACTIVE
ATM-HYD-0058,Kotak Mahindra Bank,17.447434,78.392857,Madhapur,Ayyappa Society / 100 Feet Road,Hyderabad,500081,False,True,Kotak Mahindra Bank ATM - Madhapur,On-Site,06:00 - 23:00,713,0.44,10000,0.83,0.17,2.67,Near Madhapur Metro / Junction,ACTIVE
ATM-HYD-0059,Kotak Mahindra Bank,17.448144,78.386241,Madhapur,Ayyappa Society / 100 Feet Road,Hyderabad,500081,True,True,Kotak Mahindra Bank ATM - Madhapur,Off-Site Kiosk,24 Hours,382,0.43,5000,0.77,0.56,0.28,Near Madhapur Metro / Junction,ACTIVE
ATM-HYD-0060,HDFC Bank,17.453443,78.394884,Madhapur,Ayyappa Society / 100 Feet Road,Hyderabad,500081,True,True,HDFC Bank ATM - Madhapur,Off-Site Kiosk,24 Hours,480,0.4,10000,0.71,0.28,3.05,Near Madhapur Metro / Junction,ACTIVE
ATM-HYD-0061,Union Bank of India,17.45186,78.387408,Madhapur,Ayyappa Society / 100 Feet Road,Hyderabad,500081,True,True,Union Bank of India ATM - Madhapur,Off-Site Kiosk,24 Hours,413,0.18,20000,0.23,0.59,3.08,Near Madhapur Metro / Junction,ACTIVE
ATM-HYD-0062,HDFC Bank,17.454613,78.385192,Madhapur,Ayyappa Society / 100 Feet Road,Hyderabad,500081,True,True,HDFC Bank ATM - Madhapur,Off-Site Kiosk,24 Hours,367,0.19,10000,0.39,0.92,2.91,Near Madhapur Metro / Junction,ACTIVE
ATM-HYD-0063,Kotak Mahindra Bank,17.450941,78.401357,Madhapur,Ayyappa Society / 100 Feet Road,Hyderabad,500081,True,True,Kotak Mahindra Bank ATM - Madhapur,Off-Site Kiosk,24 Hours,368,0.13,5000,0.43,0.87,1.12,Near Madhapur Metro / Junction,ACTIVE
ATM-HYD-0064,Kotak Mahindra Bank,17.443843,78.388952,Madhapur,Ayyappa Society / 100 Feet Road,Hyderabad,500081,True,True,Kotak Mahindra Bank ATM - Madhapur,On-Site,24 Hours,425,0.25,15000,0.43,0.56,3.44,Near Madhapur Metro / Junction,ACTIVE
ATM-HYD-0065,Canara Bank,17.445148,78.464134,Begumpet,Prakash Nagar / Airport Road,Hyderabad,500016,True,True,Canara Bank ATM - Begumpet,On-Site,24 Hours,168,0.16,8000,0.27,0.25,3.38,Near Begumpet Metro / Junction,ACTIVE
ATM-HYD-0066,Axis Bank,17.437722,78.466709,Begumpet,Prakash Nagar / Airport Road,Hyderabad,500016,True,True,Axis Bank ATM - Begumpet,On-Site,24 Hours,251,0.33,8000,0.66,0.78,1.24,Near Begumpet Metro / Junction,ACTIVE
ATM-HYD-0067,Canara Bank,17.43992,78.468531,Begumpet,Prakash Nagar / Airport Road,Hyderabad,500016,True,True,Canara Bank ATM - Begumpet,Off-Site Kiosk,24 Hours,663,0.16,15000,0.28,0.58,0.35,Near Begumpet Metro / Junction,ACTIVE
ATM-HYD-0068,Punjab National Bank,17.440563,78.473375,Begumpet,Prakash Nagar / Airport Road,Hyderabad,500016,True,True,Punjab National Bank ATM - Begumpet,On-Site,24 Hours,672,0.45,15000,0.63,0.87,3.3,Near Begumpet Metro / Junction,ACTIVE
ATM-HYD-0069,Punjab National Bank,17.441175,78.464951,Begumpet,Prakash Nagar / Airport Road,Hyderabad,500016,True,True,Punjab National Bank ATM - Begumpet,Off-Site Kiosk,24 Hours,341,0.25,4000,0.81,0.42,3.24,Near Begumpet Metro / Junction,ACTIVE
ATM-HYD-0070,Axis Bank,17.448361,78.460861,Begumpet,Prakash Nagar / Airport Road,Hyderabad,500016,True,True,Axis Bank ATM - Begumpet,Off-Site Kiosk,24 Hours,819,0.43,20000,0.78,0.71,1.87,Near Begumpet Metro / Junction,ACTIVE
ATM-HYD-0071,Bank of India,17.445724,78.472282,Begumpet,Prakash Nagar / Airport Road,Hyderabad,500016,True,True,Bank of India ATM - Begumpet,Off-Site Kiosk,24 Hours,474,0.26,8000,0.54,0.63,0.83,Near Begumpet Metro / Junction,ACTIVE
ATM-HYD-0072,State Bank of India,17.437466,78.467231,Begumpet,Prakash Nagar / Airport Road,Hyderabad,500016,True,True,State Bank of India ATM - Begumpet,Off-Site Kiosk,24 Hours,528,0.36,5000,0.58,0.81,1.19,Near Begumpet Metro / Junction,ACTIVE
ATM-HYD-0073,Canara Bank,17.445869,78.469918,Begumpet,Prakash Nagar / Airport Road,Hyderabad,500016,True,True,Canara Bank ATM - Begumpet,On-Site,24 Hours,140,0.23,5000,0.45,0.4,2.11,Near Begumpet Metro / Junction,ACTIVE
ATM-HYD-0074,State Bank of India,17.439134,78.460458,Begumpet,Prakash Nagar / Airport Road,Hyderabad,500016,True,True,State Bank of India ATM - Begumpet,Off-Site Kiosk,24 Hours,616,0.28,20000,0.3,0.88,1.76,Near Begumpet Metro / Junction,ACTIVE
ATM-HYD-0075,Axis Bank,17.447049,78.467736,Begumpet,Prakash Nagar / Airport Road,Hyderabad,500016,True,True,Axis Bank ATM - Begumpet,Off-Site Kiosk,24 Hours,313,0.36,8000,0.51,0.3,2.29,Near Begumpet Metro / Junction,ACTIVE
ATM-HYD-0076,State Bank of India,17.445827,78.467959,Begumpet,Prakash Nagar / Airport Road,Hyderabad,500016,False,True,State Bank of India ATM - Begumpet,On-Site,06:00 - 23:00,380,0.36,5000,0.71,0.21,0.69,Near Begumpet Metro / Junction,ACTIVE
ATM-HYD-0077,State Bank of India,17.44164,78.467445,Begumpet,Prakash Nagar / Airport Road,Hyderabad,500016,True,True,State Bank of India ATM - Begumpet,On-Site,24 Hours,626,0.34,4000,0.47,0.36,3.12,Near Begumpet Metro / Junction,ACTIVE
ATM-HYD-0078,Canara Bank,17.441219,78.495085,Secunderabad,Clock Tower / Station Road,Hyderabad,500003,True,True,Canara Bank ATM - Secunderabad,On-Site,24 Hours,533,0.3,5000,0.25,0.37,2.47,Near Secunderabad Metro / Junction,ACTIVE
ATM-HYD-0079,Union Bank of India,17.448296,78.500432,Secunderabad,Clock Tower / Station Road,Hyderabad,500003,False,True,Union Bank of India ATM - Secunderabad,Off-Site Kiosk,06:00 - 23:00,249,0.4,5000,0.27,0.96,3.36,Near Secunderabad Metro / Junction,ACTIVE
ATM-HYD-0080,Bank of Baroda,17.434539,78.501254,Secunderabad,Clock Tower / Station Road,Hyderabad,500003,True,True,Bank of Baroda ATM - Secunderabad,On-Site,24 Hours,191,0.32,4000,0.47,0.67,2.84,Near Secunderabad Metro / Junction,ACTIVE
ATM-HYD-0081,Union Bank of India,17.435514,78.501842,Secunderabad,Clock Tower / Station Road,Hyderabad,500003,False,True,Union Bank of India ATM - Secunderabad,Off-Site Kiosk,06:00 - 23:00,712,0.33,10000,0.58,0.62,2.57,Near Secunderabad Metro / Junction,ACTIVE
ATM-HYD-0082,Union Bank of India,17.445114,78.494607,Secunderabad,Clock Tower / Station Road,Hyderabad,500003,False,True,Union Bank of India ATM - Secunderabad,On-Site,06:00 - 23:00,701,0.28,5000,0.67,0.7,1.77,Near Secunderabad Metro / Junction,ACTIVE
ATM-HYD-0083,Punjab National Bank,17.444235,78.500158,Secunderabad,Clock Tower / Station Road,Hyderabad,500003,False,True,Punjab National Bank ATM - Secunderabad,On-Site,06:00 - 23:00,393,0.42,8000,0.69,0.52,1.92,Near Secunderabad Metro / Junction,ACTIVE
ATM-HYD-0084,State Bank of India,17.443599,78.506836,Secunderabad,Clock Tower / Station Road,Hyderabad,500003,True,True,State Bank of India ATM - Secunderabad,Off-Site Kiosk,24 Hours,421,0.28,20000,0.35,0.99,1.1,Near Secunderabad Metro / Junction,ACTIVE
ATM-HYD-0085,Bank of Baroda,17.438796,78.494908,Secunderabad,Clock Tower / Station Road,Hyderabad,500003,True,True,Bank of Baroda ATM - Secunderabad,On-Site,24 Hours,693,0.15,5000,0.31,0.38,2.49,Near Secunderabad Metro / Junction,ACTIVE
ATM-HYD-0086,Union Bank of India,17.435897,78.494629,Secunderabad,Clock Tower / Station Road,Hyderabad,500003,True,True,Union Bank of India ATM - Secunderabad,Off-Site Kiosk,24 Hours,205,0.27,8000,0.53,0.59,1.57,Near Secunderabad Metro / Junction,ACTIVE
ATM-HYD-0087,Punjab National Bank,17.439553,78.499835,Secunderabad,Clock Tower / Station Road,Hyderabad,500003,True,True,Punjab National Bank ATM - Secunderabad,On-Site,24 Hours,570,0.26,15000,0.81,0.17,0.26,Near Secunderabad Metro / Junction,ACTIVE
ATM-HYD-0088,Punjab National Bank,17.441145,78.502022,Secunderabad,Clock Tower / Station Road,Hyderabad,500003,True,True,Punjab National Bank ATM - Secunderabad,Off-Site Kiosk,24 Hours,729,0.26,4000,0.81,0.42,1.19,Near Secunderabad Metro / Junction,ACTIVE
ATM-HYD-0089,State Bank of India,17.437559,78.454741,Ameerpet,Metro Station / Mythrivanam,Hyderabad,500038,True,True,State Bank of India ATM - Ameerpet,On-Site,24 Hours,569,0.31,20000,0.53,1.47,2.19,Near Ameerpet Metro / Junction,ACTIVE
ATM-HYD-0090,HDFC Bank,17.436309,78.460441,Ameerpet,Metro Station / Mythrivanam,Hyderabad,500038,True,True,HDFC Bank ATM - Ameerpet,On-Site,24 Hours,364,0.22,10000,0.17,1.13,1.31,Near Ameerpet Metro / Junction,ACTIVE
ATM-HYD-0091,State Bank of India,17.440316,78.444343,Ameerpet,Metro Station / Mythrivanam,Hyderabad,500038,True,True,State Bank of India ATM - Ameerpet,Off-Site Kiosk,24 Hours,554,0.38,10000,0.79,2.39,3.44,Near Ameerpet Metro / Junction,ACTIVE
ATM-HYD-0092,State Bank of India,17.432681,78.450371,Ameerpet,Metro Station / Mythrivanam,Hyderabad,500038,True,True,State Bank of India ATM - Ameerpet,On-Site,24 Hours,543,0.33,20000,0.17,1.51,2.32,Near Ameerpet Metro / Junction,ACTIVE
ATM-HYD-0093,ICICI Bank,17.436494,78.451413,Ameerpet,Metro Station / Mythrivanam,Hyderabad,500038,False,True,ICICI Bank ATM - Ameerpet,On-Site,06:00 - 23:00,612,0.19,8000,0.42,1.83,0.9,Near Ameerpet Metro / Junction,ACTIVE
ATM-HYD-0094,HDFC Bank,17.43963,78.447872,Ameerpet,Metro Station / Mythrivanam,Hyderabad,500038,True,True,HDFC Bank ATM - Ameerpet,On-Site,24 Hours,528,0.22,10000,0.33,2.04,0.47,Near Ameerpet Metro / Junction,ACTIVE
ATM-HYD-0095,Axis Bank,17.433689,78.441383,Ameerpet,Metro Station / Mythrivanam,Hyderabad,500038,False,True,Axis Bank ATM - Ameerpet,On-Site,06:00 - 23:00,692,0.14,8000,0.31,2.03,0.43,Near Ameerpet Metro / Junction,ACTIVE
ATM-HYD-0096,HDFC Bank,17.435491,78.452054,Ameerpet,Metro Station / Mythrivanam,Hyderabad,500038,False,True,HDFC Bank ATM - Ameerpet,Off-Site Kiosk,06:00 - 23:00,181,0.39,5000,0.29,1.79,0.27,Near Ameerpet Metro / Junction,ACTIVE
ATM-HYD-0097,Bank of India,17.438463,78.442594,Ameerpet,Metro Station / Mythrivanam,Hyderabad,500038,True,True,Bank of India ATM - Ameerpet,On-Site,24 Hours,269,0.29,4000,0.54,2.4,0.92,Near Ameerpet Metro / Junction,ACTIVE
