case_id,complaint_id,predicted_location,actual_location,prediction_timestamp,intervention_status,intervention_time,outcome,recovered_amount,false_positive,model_version
DR-2026-1015,CMP-HYD-00015,ATM-HYD-0181,ATM-HYD-0181,2026-04-26 02:51:00,INTERCEPTED,2026-04-26 03:17:00,CASH_WITHDRAWAL_PREVENTED,39650.54,0,v2.2-xgboost-conformal
DR-2026-1016,CMP-HYD-00016,ATM-HYD-0114,ATM-HYD-0114,2026-04-21 20:10:00,INTERCEPTED,2026-04-21 20:43:00,CASH_WITHDRAWAL_PREVENTED,12844.12,0,v2.2-xgboost-conformal
DR-2026-1017,CMP-HYD-00017,ATM-HYD-0386,ATM-HYD-0199,2026-08-04 15:09:00,DISPATCHED_MISSED,2026-08-04 15:29:00,OFFICER_ARRIVED_POST_CASHOUT,0.0,1,v2.2-xgboost-conformal
DR-2026-1018,CMP-HYD-00018,ATM-HYD-0087,ATM-HYD-0020,2026-03-20 12:30:00,DISPATCHED_MISSED,2026-03-20 13:16:00,DIFFERENT_ATM_USED,0.0,1,v2.2-xgboost-conformal
DR-2026-1019,CMP-HYD-00019,ATM-HYD-0291,ATM-HYD-0291,2026-05-25 01:09:00,INTERCEPTED,2026-05-25 01:55:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,80075.44,0,v2.2-xgboost-conformal
DR-2026-1020,CMP-HYD-00020,ATM-HYD-0510,ATM-HYD-0510,2026-05-27 07:30:00,INTERCEPTED,2026-05-27 08:06:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,129568.26,0,v2.2-xgboost-conformal
DR-2026-1021,CMP-HYD-00021,ATM-HYD-0354,ATM-HYD-0262,2026-07-26 06:08:00,DISPATCHED_MISSED,2026-07-26 06:27:00,OFFICER_ARRIVED_POST_CASHOUT,0.0,1,v2.2-xgboost-conformal
DR-2026-1022,CMP-HYD-00022,ATM-HYD-0343,ATM-HYD-0079,2026-08-08 08:33:00,DISPATCHED_MISSED,2026-08-08 08:49:00,DIFFERENT_ATM_USED,0.0,1,v2.2-xgboost-conformal
DR-2026-1023,CMP-HYD-00023,ATM-HYD-0143,ATM-HYD-0143,2026-05-25 03:50:00,INTERCEPTED,2026-05-25 04:21:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,21947.62,0,v2.2-xgboost-conformal
DR-2026-1024,CMP-HYD-00024,ATM-HYD-0100,ATM-HYD-0011,2026-01-10 12:56:00,DISPATCHED_MISSED,2026-01-10 13:17:00,OFFICER_ARRIVED_POST_CASHOUT,0.0,1,v2.2-xgboost-conformal
DR-2026-1025,CMP-HYD-00025,ATM-HYD-0503,ATM-HYD-0435,2026-02-04 09:47:00,DISPATCHED_MISSED,2026-02-04 10:20:00,OFFICER_ARRIVED_POST_CASHOUT,0.0,1,v2.2-xgboost-conformal
DR-2026-1026,CMP-HYD-00026,ATM-HYD-0075,ATM-HYD-0075,2026-01-17 09:45:00,INTERCEPTED,2026-01-17 10:22:00,CASH_WITHDRAWAL_PREVENTED,36280.97,0,v2.2-xgboost-conformal
DR-2026-1027,CMP-HYD-00027,ATM-HYD-0006,ATM-HYD-0006,2026-03-12 11:52:00,INTERCEPTED,2026-03-12 12:33:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,44858.22,0,v2.2-xgboost-conformal
DR-2026-1028,CMP-HYD-00028,ATM-HYD-0345,ATM-HYD-0345,2026-03-14 00:24:00,INTERCEPTED,2026-03-14 01:16:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,23358.82,0,v2.2-xgboost-conformal
DR-2026-1029,CMP-HYD-00029,ATM-HYD-0287,ATM-HYD-0182,2026-08-22 04:41:00,DISPATCHED_MISSED,2026-08-22 05:27:00,DIFFERENT_ATM_USED,0.0,1,v2.2-xgboost-conformal
DR-2026-1030,CMP-HYD-00030,ATM-HYD-0360,ATM-HYD-0391,2026-03-19 21:33:00,DISPATCHED_MISSED,2026-03-19 21:53:00,OFFICER_ARRIVED_POST_CASHOUT,0.0,1,v2.2-xgboost-conformal
DR-2026-1031,CMP-HYD-00031,ATM-HYD-0178,ATM-HYD-0400,2026-06-13 10:55:00,DISPATCHED_MISSED,2026-06-13 11:46:00,DIFFERENT_ATM_USED,0.0,1,v2.2-xgboost-conformal
DR-2026-1032,CMP-HYD-00032,ATM-HYD-0335,ATM-HYD-0424,2026-03-08 13:25:00,DISPATCHED_MISSED,2026-03-08 13:54:00,DIFFERENT_ATM_USED,0.0,1,v2.2-xgboost-conformal
DR-2026-1033,CMP-HYD-00033,ATM-HYD-0325,ATM-HYD-0090,2026-03-17 03:30:00,DISPATCHED_MISSED,2026-03-17 04:05:00,OFFICER_ARRIVED_POST_CASHOUT,0.0,1,v2.2-xgboost-conformal
DR-2026-1034,CMP-HYD-00034,ATM-HYD-0325,ATM-HYD-0325,2026-04-06 08:37:00,INTERCEPTED,2026-04-06 09:04:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,83072.94,0,v2.2-xgboost-conformal
DR-2026-1035,CMP-HYD-00035,ATM-HYD-0316,ATM-HYD-0316,2026-04-16 01:55:00,INTERCEPTED,2026-04-16 02:14:00,CASH_WITHDRAWAL_PREVENTED,73774.67,0,v2.2-xgboost-conformal
DR-2026-1036,CMP-HYD-00036,ATM-HYD-0290,ATM-HYD-0290,2026-06-12 01:00:00,INTERCEPTED,2026-06-12 01:41:00,CASH_WITHDRAWAL_PREVENTED,93649.63,0,v2.2-xgboost-conformal
DR-2026-1037,CMP-HYD-00037,ATM-HYD-0322,ATM-HYD-0322,2026-04-09 00:02:00,INTERCEPTED,2026-04-09 00:36:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,149347.37,0,v2.2-xgboost-conformal
DR-2026-1038,CMP-HYD-00038,ATM-HYD-0091,ATM-HYD-0091,2026-04-09 16:37:00,INTERCEPTED,2026-04-09 17:07:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,22902.14,0,v2.2-xgboost-conformal
DR-2026-1039,CMP-HYD-00039,ATM-HYD-0009,ATM-HYD-0009,2026-02-12 12:01:00,INTERCEPTED,2026-02-12 12:40:00,CASH_WITHDRAWAL_PREVENTED,45717.14,0,v2.2-xgboost-conformal
DR-2026-1040,CMP-HYD-00040,ATM-HYD-0206,ATM-HYD-0206,2026-06-19 03:41:00,INTERCEPTED,2026-06-19 04:14:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,12944.3,0,v2.2-xgboost-conformal
DR-2026-1041,CMP-HYD-00041,ATM-HYD-0490,ATM-HYD-0490,2026-06-09 19:44:00,INTERCEPTED,2026-06-09 20:04:00,CASH_WITHDRAWAL_PREVENTED,79496.11,0,v2.2-xgboost-conformal
DR-2026-1042,CMP-HYD-00042,ATM-HYD-0105,ATM-HYD-0105,2026-04-02 22:26:00,INTERCEPTED,2026-04-02 23:16:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,43672.83,0,v2.2-xgboost-conformal
DR-2026-1043,CMP-HYD-00043,ATM-HYD-0308,ATM-HYD-0308,2026-07-19 16:04:00,INTERCEPTED,2026-07-19 16:24:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,22616.81,0,v2.2-xgboost-conformal
DR-2026-1044,CMP-HYD-00044,ATM-HYD-0519,ATM-HYD-0519,2026-04-20 23:07:00,INTERCEPTED,2026-04-20 23:45:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,86197.14,0,v2.2-xgboost-conformal
DR-2026-1045,CMP-HYD-00045,ATM-HYD-0309,ATM-HYD-0309,2026-04-13 14:17:00,INTERCEPTED,2026-04-13 14:45:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,115521.26,0,v2.2-xgboost-conformal
DR-2026-1046,CMP-HYD-00046,ATM-HYD-0342,ATM-HYD-0137,2026-02-16 19:24:00,DISPATCHED_MISSED,2026-02-16 20:17:00,OFFICER_ARRIVED_POST_CASHOUT,0.0,1,v2.2-xgboost-conformal
DR-2026-1047,CMP-HYD-00047,ATM-HYD-0430,ATM-HYD-0430,2026-06-30 21:33:00,INTERCEPTED,2026-06-30 22:01:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,14074.33,0,v2.2-xgboost-conformal
DR-2026-1048,CMP-HYD-00048,ATM-HYD-0217,ATM-HYD-0217,2026-02-08 17:57:00,INTERCEPTED,2026-02-08 18:51:00,CASH_WITHDRAWAL_PREVENTED,112919.92,0,v2.2-xgboost-conformal
DR-2026-1049,CMP-HYD-00049,ATM-HYD-0442,ATM-HYD-0442,2026-02-27 17:41:00,INTERCEPTED,2026-02-27 18:13:00,CASH_WITHDRAWAL_PREVENTED,197626.69,0,v2.2-xgboost-conformal
DR-2026-1050,CMP-HYD-00050,ATM-HYD-0246,ATM-HYD-0246,2026-04-14 13:02:00,INTERCEPTED,2026-04-14 13:21:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,24601.38,0,v2.2-xgboost-conformal
DR-2026-1051,CMP-HYD-00051,ATM-HYD-0097,ATM-HYD-0184,2026-08-05 14:21:00,DISPATCHED_MISSED,2026-08-05 15:10:00,DIFFERENT_ATM_USED,0.0,1,v2.2-xgboost-conformal
DR-2026-1052,CMP-HYD-00052,ATM-HYD-0349,ATM-HYD-0349,2026-05-14 11:44:00,INTERCEPTED,2026-05-14 12:35:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,196988.76,0,v2.2-xgboost-conformal
DR-2026-1053,CMP-HYD-00053,ATM-HYD-0342,ATM-HYD-0342,2026-07-31 06:45:00,INTERCEPTED,2026-07-31 07:12:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,147342.94,0,v2.2-xgboost-conformal
DR-2026-1054,CMP-HYD-00054,ATM-HYD-0449,ATM-HYD-0449,2026-05-16 23:03:00,INTERCEPTED,2026-05-16 23:27:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,14452.81,0,v2.2-xgboost-conformal
DR-2026-1055,CMP-HYD-00055,ATM-HYD-0174,ATM-HYD-0174,2026-05-10 12:26:00,INTERCEPTED,2026-05-10 12:43:00,CASH_WITHDRAWAL_PREVENTED,87147.32,0,v2.2-xgboost-conformal
DR-2026-1056,CMP-HYD-00056,ATM-HYD-0040,ATM-HYD-0165,2026-08-04 22:35:00,DISPATCHED_MISSED,2026-08-04 23:08:00,DIFFERENT_ATM_USED,0.0,1,v2.2-xgboost-conformal
DR-2026-1057,CMP-HYD-00057,ATM-HYD-0036,ATM-HYD-0036,2026-07-14 11:35:00,INTERCEPTED,2026-07-14 11:57:00,CASH_WITHDRAWAL_PREVENTED,24299.07,0,v2.2-xgboost-conformal
DR-2026-1058,CMP-HYD-00058,ATM-HYD-0130,ATM-HYD-0130,2026-02-21 08:48:00,INTERCEPTED,2026-02-21 09:32:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,14831.79,0,v2.2-xgboost-conformal
DR-2026-1059,CMP-HYD-00059,ATM-HYD-0454,ATM-HYD-0454,2026-07-10 20:35:00,INTERCEPTED,2026-07-10 21:10:00,CASH_WITHDRAWAL_PREVENTED,43405.91,0,v2.2-xgboost-conformal
DR-2026-1060,CMP-HYD-00060,ATM-HYD-0429,ATM-HYD-0429,2026-06-08 14:53:00,INTERCEPTED,2026-06-08 15:21:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,42946.83,0,v2.2-xgboost-conformal
DR-2026-1061,CMP-HYD-00061,ATM-HYD-0512,ATM-HYD-0512,2026-07-08 16:07:00,INTERCEPTED,2026-07-08 16:35:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,38022.55,0,v2.2-xgboost-conformal
DR-2026-1062,CMP-HYD-00062,ATM-HYD-0207,ATM-HYD-0076,2026-05-06 18:35:00,DISPATCHED_MISSED,2026-05-06 19:28:00,DIFFERENT_ATM_USED,0.0,1,v2.2-xgboost-conformal
DR-2026-1063,CMP-HYD-00063,ATM-HYD-0133,ATM-HYD-0133,2026-06-19 10:21:00,INTERCEPTED,2026-06-19 11:15:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,43580.88,0,v2.2-xgboost-conformal
DR-2026-1064,CMP-HYD-00064,ATM-HYD-0268,ATM-HYD-0268,2026-09-03 01:43:00,INTERCEPTED,2026-09-03 02:22:00,CASH_WITHDRAWAL_PREVENTED,44128.28,0,v2.2-xgboost-conformal
DR-2026-1065,CMP-HYD-00065,ATM-HYD-0063,ATM-HYD-0063,2026-08-18 20:12:00,INTERCEPTED,2026-08-18 20:38:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,84391.86,0,v2.2-xgboost-conformal
DR-2026-1066,CMP-HYD-00066,ATM-HYD-0044,ATM-HYD-0044,2026-05-18 22:56:00,INTERCEPTED,2026-05-18 23:37:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,46448.79,0,v2.2-xgboost-conformal
DR-2026-1067,CMP-HYD-00067,ATM-HYD-0015,ATM-HYD-0015,2026-01-19 18:52:00,INTERCEPTED,2026-01-19 19:09:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,197822.04,0,v2.2-xgboost-conformal
DR-2026-1068,CMP-HYD-00068,ATM-HYD-0060,ATM-HYD-0060,2026-04-02 16:06:00,INTERCEPTED,2026-04-02 16:44:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,24760.29,0,v2.2-xgboost-conformal
DR-2026-1069,CMP-HYD-00069,ATM-HYD-0368,ATM-HYD-0368,2026-03-17 20:09:00,INTERCEPTED,2026-03-17 20:53:00,CASH_WITHDRAWAL_PREVENTED,191967.89,0,v2.2-xgboost-conformal
DR-2026-1070,CMP-HYD-00070,ATM-HYD-0286,ATM-HYD-0199,2026-05-21 02:19:00,DISPATCHED_MISSED,2026-05-21 03:09:00,DIFFERENT_ATM_USED,0.0,1,v2.2-xgboost-conformal
DR-2026-1071,CMP-HYD-00071,ATM-HYD-0061,ATM-HYD-0061,2026-06-21 18:54:00,INTERCEPTED,2026-06-21 19:49:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,39724.88,0,v2.2-xgboost-conformal
DR-2026-1072,CMP-HYD-00072,ATM-HYD-0078,ATM-HYD-0078,2026-02-02 21:41:00,INTERCEPTED,2026-02-02 22:25:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,94899.59,0,v2.2-xgboost-conformal
DR-2026-1073,CMP-HYD-00073,ATM-HYD-0455,ATM-HYD-0455,2026-01-02 10:15:00,INTERCEPTED,2026-01-02 10:44:00,CASH_WITHDRAWAL_PREVENTED,37810.04,0,v2.2-xgboost-conformal
DR-2026-1074,CMP-HYD-00074,ATM-HYD-0183,ATM-HYD-0183,2026-02-14 20:38:00,INTERCEPTED,2026-02-14 21:31:00,CASH_WITHDRAWAL_PREVENTED,24873.97,0,v2.2-xgboost-conformal
DR-2026-1075,CMP-HYD-00075,ATM-HYD-0413,ATM-HYD-0413,2026-07-16 18:13:00,INTERCEPTED,2026-07-16 18:56:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,115221.92,0,v2.2-xgboost-conformal
DR-2026-1076,CMP-HYD-00076,ATM-HYD-0366,ATM-HYD-0366,2026-05-09 00:42:00,INTERCEPTED,2026-05-09 01:37:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,93735.91,0,v2.2-xgboost-conformal
DR-2026-1077,CMP-HYD-00077,ATM-HYD-0310,ATM-HYD-0001,2026-01-17 08:23:00,DISPATCHED_MISSED,2026-01-17 09:12:00,OFFICER_ARRIVED_POST_CASHOUT,0.0,1,v2.2-xgboost-conformal
DR-2026-1078,CMP-HYD-00078,ATM-HYD-0164,ATM-HYD-0164,2026-05-29 17:36:00,INTERCEPTED,2026-05-29 18:23:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,77304.76,0,v2.2-xgboost-conformal
DR-2026-1079,CMP-HYD-00079,ATM-HYD-0034,ATM-HYD-0034,2026-05-09 04:28:00,INTERCEPTED,2026-05-09 05:10:00,CASH_WITHDRAWAL_PREVENTED,12961.72,0,v2.2-xgboost-conformal
DR-2026-1080,CMP-HYD-00080,ATM-HYD-0045,ATM-HYD-0045,2026-05-03 06:37:00,INTERCEPTED,2026-05-03 07:04:00,CASH_WITHDRAWAL_PREVENTED,128523.43,0,v2.2-xgboost-conformal
DR-2026-1081,CMP-HYD-00081,ATM-HYD-0112,ATM-HYD-0112,2026-09-03 12:38:00,INTERCEPTED,2026-09-03 13:16:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,196440.11,0,v2.2-xgboost-conformal
DR-2026-1082,CMP-HYD-00082,ATM-HYD-0024,ATM-HYD-0024,2026-07-23 18:52:00,INTERCEPTED,2026-07-23 19:11:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,36256.58,0,v2.2-xgboost-conformal
DR-2026-1083,CMP-HYD-00083,ATM-HYD-0243,ATM-HYD-0243,2026-08-09 16:43:00,INTERCEPTED,2026-08-09 17:28:00,CASH_WITHDRAWAL_PREVENTED,179419.73,0,v2.2-xgboost-conformal
DR-2026-1084,CMP-HYD-00084,ATM-HYD-0226,ATM-HYD-0226,2026-07-31 00:57:00,INTERCEPTED,2026-07-31 01:42:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,173599.21,0,v2.2-xgboost-conformal
DR-2026-1085,CMP-HYD-00085,ATM-HYD-0002,ATM-HYD-0012,2026-04-19 04:16:00,DISPATCHED_MISSED,2026-04-19 04:40:00,DIFFERENT_ATM_USED,0.0,1,v2.2-xgboost-conformal
DR-2026-1086,CMP-HYD-00086,ATM-HYD-0455,ATM-HYD-0455,2026-06-26 10:26:00,INTERCEPTED,2026-06-26 10:47:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,45983.36,0,v2.2-xgboost-conformal
DR-2026-1087,CMP-HYD-00087,ATM-HYD-0051,ATM-HYD-0051,2026-02-15 11:35:00,INTERCEPTED,2026-02-15 12:25:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,130833.38,0,v2.2-xgboost-conformal
DR-2026-1088,CMP-HYD-00088,ATM-HYD-0083,ATM-HYD-0083,2026-05-11 12:50:00,INTERCEPTED,2026-05-11 13:14:00,CASH_WITHDRAWAL_PREVENTED,45072.19,0,v2.2-xgboost-conformal
DR-2026-1089,CMP-HYD-00089,ATM-HYD-0324,ATM-HYD-0324,2026-02-26 11:05:00,INTERCEPTED,2026-02-26 11:57:00,CASH_WITHDRAWAL_PREVENTED,73203.71,0,v2.2-xgboost-conformal
DR-2026-1090,CMP-HYD-00090,ATM-HYD-0258,ATM-HYD-0258,2026-03-15 06:02:00,INTERCEPTED,2026-03-15 06:56:00,CASH_WITHDRAWAL_PREVENTED,170922.44,0,v2.2-xgboost-conformal
DR-2026-1091,CMP-HYD-00091,ATM-HYD-0278,ATM-HYD-0278,2026-05-31 06:33:00,INTERCEPTED,2026-05-31 07:26:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,119996.36,0,v2.2-xgboost-conformal
DR-2026-1092,CMP-HYD-00092,ATM-HYD-0173,ATM-HYD-0173,2026-05-28 00:16:00,INTERCEPTED,2026-05-28 01:06:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,117547.87,0,v2.2-xgboost-conformal
DR-2026-1093,CMP-HYD-00093,ATM-HYD-0367,ATM-HYD-0367,2026-09-04 14:43:00,INTERCEPTED,2026-09-04 15:17:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,92762.0,0,v2.2-xgboost-conformal
DR-2026-1094,CMP-HYD-00094,ATM-HYD-0430,ATM-HYD-0430,2026-06-29 08:15:00,INTERCEPTED,2026-06-29 08:34:00,CASH_WITHDRAWAL_PREVENTED,14112.77,0,v2.2-xgboost-conformal
DR-2026-1095,CMP-HYD-00095,ATM-HYD-0515,ATM-HYD-0361,2026-07-08 06:15:00,DISPATCHED_MISSED,2026-07-08 06:56:00,DIFFERENT_ATM_USED,0.0,1,v2.2-xgboost-conformal
DR-2026-1096,CMP-HYD-00096,ATM-HYD-0305,ATM-HYD-0018,2026-07-15 17:02:00,DISPATCHED_MISSED,2026-07-15 17:33:00,OFFICER_ARRIVED_POST_CASHOUT,0.0,1,v2.2-xgboost-conformal
DR-2026-1097,CMP-HYD-00097,ATM-HYD-0440,ATM-HYD-0440,2026-07-24 13:30:00,INTERCEPTED,2026-07-24 14:11:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,188157.67,0,v2.2-xgboost-conformal
DR-2026-1098,CMP-HYD-00098,ATM-HYD-0488,ATM-HYD-0488,2026-05-29 03:20:00,INTERCEPTED,2026-05-29 03:36:00,CASH_WITHDRAWAL_PREVENTED,114397.35,0,v2.2-xgboost-conformal
DR-2026-1099,CMP-HYD-00099,ATM-HYD-0142,ATM-HYD-0142,2026-08-07 12:17:00,INTERCEPTED,2026-08-07 12:33:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,91976.08,0,v2.2-xgboost-conformal
DR-2026-1100,CMP-HYD-00100,ATM-HYD-0023,ATM-HYD-0023,2026-07-26 00:11:00,INTERCEPTED,2026-07-26 00:31:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,135804.5,0,v2.2-xgboost-conformal
DR-2026-1101,CMP-HYD-00101,ATM-HYD-0102,ATM-HYD-0102,2026-01-16 06:52:00,INTERCEPTED,2026-01-16 07:15:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,36181.18,0,v2.2-xgboost-conformal
DR-2026-1102,CMP-HYD-00102,ATM-HYD-0442,ATM-HYD-0291,2026-05-28 18:41:00,DISPATCHED_MISSED,2026-05-28 19:11:00,OFFICER_ARRIVED_POST_CASHOUT,0.0,1,v2.2-xgboost-conformal
DR-2026-1103,CMP-HYD-00103,ATM-HYD-0389,ATM-HYD-0389,2026-06-13 10:26:00,INTERCEPTED,2026-06-13 10:59:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,38874.37,0,v2.2-xgboost-conformal
DR-2026-1104,CMP-HYD-00104,ATM-HYD-0344,ATM-HYD-0344,2026-07-11 18:33:00,INTERCEPTED,2026-07-11 19:08:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,85292.73,0,v2.2-xgboost-conformal
DR-2026-1105,CMP-HYD-00105,ATM-HYD-0504,ATM-HYD-0504,2026-01-14 00:49:00,INTERCEPTED,2026-01-14 01:21:00,CASH_WITHDRAWAL_PREVENTED,195471.75,0,v2.2-xgboost-conformal
DR-2026-1106,CMP-HYD-00106,ATM-HYD-0504,ATM-HYD-0504,2026-05-15 05:01:00,INTERCEPTED,2026-05-15 05:25:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,41223.45,0,v2.2-xgboost-conformal
DR-2026-1107,CMP-HYD-00107,ATM-HYD-0178,ATM-HYD-0178,2026-06-11 23:40:00,INTERCEPTED,2026-06-12 00:21:00,CASH_WITHDRAWAL_PREVENTED,129418.81,0,v2.2-xgboost-conformal
DR-2026-1108,CMP-HYD-00108,ATM-HYD-0329,ATM-HYD-0013,2026-01-01 16:52:00,DISPATCHED_MISSED,2026-01-01 17:19:00,DIFFERENT_ATM_USED,0.0,1,v2.2-xgboost-conformal
DR-2026-1109,CMP-HYD-00109,ATM-HYD-0273,ATM-HYD-0195,2026-02-18 13:56:00,DISPATCHED_MISSED,2026-02-18 14:25:00,OFFICER_ARRIVED_POST_CASHOUT,0.0,1,v2.2-xgboost-conformal
DR-2026-1110,CMP-HYD-00110,ATM-HYD-0096,ATM-HYD-0096,2026-03-14 20:47:00,INTERCEPTED,2026-03-14 21:22:00,CASH_WITHDRAWAL_PREVENTED,82422.79,0,v2.2-xgboost-conformal
DR-2026-1111,CMP-HYD-00111,ATM-HYD-0362,ATM-HYD-0017,2026-02-08 01:34:00,DISPATCHED_MISSED,2026-02-08 02:20:00,DIFFERENT_ATM_USED,0.0,1,v2.2-xgboost-conformal
DR-2026-1112,CMP-HYD-00112,ATM-HYD-0301,ATM-HYD-0301,2026-04-29 22:50:00,INTERCEPTED,2026-04-29 23:07:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,93193.17,0,v2.2-xgboost-conformal
DR-2026-1113,CMP-HYD-00113,ATM-HYD-0449,ATM-HYD-0449,2026-02-01 22:15:00,INTERCEPTED,2026-02-01 22:48:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,13588.14,0,v2.2-xgboost-conformal
